mining_profitability90trx,price30varUSD,activeaddresses30trx,sentinusd90stdUSD,top100cap14trx,mining_profitability90ema,difficulty14wma,transactionfees7trxUSD,top100cap30mom,top100cap90mom,mining_profitability7std,price3rsiUSD,top100cap14roc,category
-0.71,11.505,0.16399999999999998,65174142,0.008,1148.0,169544934.0,-2.801,0.101,-0.74,88.37200000000001,83.469,1.985,1
-0.716,11.681,0.168,65231832,0.016,1130.0,173252654.0,-2.759,0.248,-0.552,86.698,85.259,2.305,1
-0.722,11.755999999999998,0.16699999999999998,64799668,0.024,1113.0,176575020.0,-2.268,0.299,-0.478,32.559,87.256,2.427,1
-0.728,12.459,0.16899999999999998,64596742,0.031,1096.0,179512034.0,-1.694,0.344,-0.429,31.521,95.304,2.257,1
-0.7340000000000001,14.626,0.173,64942245,0.037000000000000005,1080.0,182063695.0,-1.169,0.317,-0.43,30.858,97.833,2.055,1
-0.7390000000000001,19.903,0.17800000000000002,65366019,0.042,1065.0,184230002.0,-0.331,0.326,-0.511,33.911,98.984,1.807,1
-0.745,26.164,0.188,66230397,0.044,1047.0,190095338.0,1.227,0.337,-0.8759999999999999,59.419,99.19,0.5760000000000001,1
-0.7509999999999999,34.44,0.197,66364021,0.045,1030.0,201659199.0,2.396,0.32299999999999995,-0.777,88.822,99.465,-0.485,1
-0.7559999999999999,48.066,0.207,66257908,0.046,1013.0,212090564.0,2.8080000000000003,0.447,-0.65,90.896,99.736,0.094,1
-0.762,77.189,0.219,66803212,0.047,997.822,221389434.0,2.962,0.345,-0.629,83.40700000000002,99.896,0.17600000000000002,1
