difficulty14trx,fee_to_rewardUSD,median_transaction_fee90rocUSD,median_transaction_feeUSD,mining_profitability14var,mining_profitability30trx,mining_profitability3wma,price30varUSD,price30wmaUSD,priceUSD,sentinusd90stdUSD,size90ema,top100cap90mom,transactionvalue90trxUSD,category
1.393,0.544,18.993,0.0446,29141.0,-1.536,1731.0,137.378,84.29899999999999,89.295,132658264,133446.0,-0.196,0.155,1
1.43,0.871,15.683,0.045,26439.0,-1.556,1701.0,133.23,84.337,89.925,132369394,132950.0,-0.105,0.15,1
1.454,0.73,-6.236000000000001,0.0444,17968.0,-1.5730000000000002,1798.0,128.392,84.322,88.775,89098717,132244.0,-0.077,0.145,1
1.463,0.924,-18.948,0.0432,19601.0,-1.59,1688.0,120.648,84.186,86.48299999999999,85801431,131910.0,0.24,0.14,1
1.459,0.494,-26.766,0.0419,18273.0,-1.605,1653.0,111.007,83.916,83.838,85445163,131139.0,0.004,0.136,1
1.4409999999999998,0.494,-26.63,0.0419,18263.0,-1.618,1627.0,99.449,83.69200000000001,83.85799999999999,85719486,130081.0,-0.002,0.132,1
1.413,0.494,-26.112,0.0419,17496.0,-1.629,1687.0,86.485,83.51899999999999,83.889,83326291,129046.0,0.01,0.127,1
1.386,0.7909999999999999,-30.369,0.0421,24831.0,-1.64,1519.0,75.568,83.406,84.1,80105003,128624.0,0.019,0.12300000000000001,1
1.403,0.607,-36.766,0.0426,35628.0,-1.653,1362.0,66.207,83.40899999999999,85.24,66544474,128526.0,0.16899999999999998,0.11900000000000001,1
1.4409999999999998,0.8909999999999999,-38.153,0.0432,30609.0,-1.663,1417.0,59.772,83.524,86.425,58483140,128447.0,0.121,0.115,1
1.485,0.92,-33.900999999999996,0.0439,33778.0,-1.6740000000000002,1407.0,54.477,83.758,87.875,56013805,128706.0,0.086,0.111,1
1.526,0.495,-29.389,0.0446,33738.0,-1.683,1438.0,48.716,84.098,89.193,55758379,128198.0,0.309,0.10800000000000001,1
1.557,0.7090000000000001,-28.65,0.0443,29671.0,-1.69,1485.0,43.832,84.412,88.506,56234129,127462.0,0.31,0.10400000000000001,1
1.5759999999999998,0.5670000000000001,-32.328,0.0442,31709.0,-1.6969999999999998,1421.0,42.018,84.734,88.353,43171701,126945.0,0.445,0.1,1
1.58,0.682,-32.145,0.0456,30287.0,-1.7009999999999998,1501.0,42.931000000000004,85.25,91.241,41172631,126589.0,0.505,0.09699999999999999,1
1.571,0.763,-25.358,0.0465,28808.0,-1.703,1552.0,44.667,85.87899999999999,93.05,36130246,126004.0,0.469,0.09300000000000001,1
1.5490000000000002,1.03,-13.552,0.048,18479.0,-1.703,1563.0,49.67,86.691,96.0,35684668,125983.0,0.528,0.09,1
1.516,0.862,-6.64,0.0479,18679.0,-1.702,1495.0,54.376999999999995,87.473,95.875,36502963,126190.0,0.436,0.087,1
1.473,0.605,-9.087,0.0477,18104.0,-1.699,1540.0,58.173,88.20299999999999,95.495,36418047,126046.0,0.47200000000000003,0.085,1
1.449,0.62,-15.945,0.0477,19572.0,-1.696,1413.0,60.413000000000004,88.895,95.37200000000001,36454489,126030.0,0.42200000000000004,0.08199999999999999,1
1.463,0.7020000000000001,-16.33,0.0473,15106.0,-1.692,1368.0,57.849,89.49799999999999,94.551,36416340,125751.0,0.493,0.079,1
1.496,0.588,-13.513,0.0477,16138.0,-1.689,1303.0,46.674,90.113,95.46,35680659,125662.0,0.431,0.075,1
1.5330000000000001,0.873,-11.59,0.0484,14053.0,-1.685,1335.0,39.36,90.757,96.89200000000001,35438038,125666.0,0.431,0.07200000000000001,1
1.5659999999999998,0.6759999999999999,-10.173,0.0487,14582.0,-1.68,1318.0,35.0,91.374,97.39,35466934,125875.0,0.45799999999999996,0.069,1
1.589,0.9520000000000001,-13.215,0.048,14362.0,-1.6740000000000002,1355.0,27.518,91.84700000000001,95.932,34899177,125887.0,0.556,0.065,1
1.6,0.8959999999999999,-16.288,0.0471,18605.0,-1.669,1268.0,21.926,92.155,94.179,34979440,125583.0,0.555,0.061,1
1.597,0.564,-58.214,0.0467,17441.0,-1.663,1295.0,19.743,92.374,93.381,35258857,125298.0,0.507,0.057,1
1.581,0.608,-17.109,0.0465,18265.0,-1.656,1277.0,18.934,92.544,93.038,33842770,124321.0,0.634,0.053,1
1.5530000000000002,0.47,-13.482000000000001,0.047,16323.0,-1.649,1263.0,19.045,92.759,93.98899999999999,33747555,124535.0,0.8490000000000001,0.049,1
1.534,0.648,-9.216000000000001,0.0475,15557.0,-1.643,1189.0,19.305,93.022,94.93799999999999,35549928,124847.0,0.907,0.045,1
1.604,1.045,-10.007,0.0481,21935.0,-1.64,1056.0,20.048,93.35799999999999,96.29299999999999,37626781,125300.0,0.737,0.042,1
1.7180000000000002,1.472,-12.254000000000001,0.0485,25968.0,-1.6369999999999998,998.7489999999999,20.986,93.72200000000001,96.95200000000001,37341939,126131.0,0.682,0.039,1
1.8459999999999999,1.1079999999999999,-14.424000000000001,0.0483,21748.0,-1.6369999999999998,964.585,21.491999999999997,94.044,96.54299999999999,37876142,127369.0,0.599,0.036000000000000004,1
1.9680000000000002,0.607,-14.267999999999999,0.0484,24558.0,-1.6369999999999998,980.41,21.256,94.365,96.796,37971659,127420.0,0.466,0.034,1
2.0709999999999997,0.9420000000000001,-14.377,0.0485,25239.0,-1.6369999999999998,983.7389999999999,19.519000000000002,94.67299999999999,96.925,37927303,127489.0,0.449,0.031,1
2.148,1.09,-14.993,0.049,27262.0,-1.6380000000000001,967.61,17.727999999999998,95.022,97.99600000000001,38729449,128596.0,0.48700000000000004,0.027999999999999997,1
2.197,0.716,-13.356,0.0506,24035.0,-1.639,999.607,16.748,95.54,101.101,39012208,129097.0,0.306,0.025,1
2.218,0.654,-11.446,0.0526,22051.0,-1.639,1017.0,17.615,96.28,105.11,41051357,129294.0,0.272,0.022000000000000002,1
2.213,0.715,-13.894,0.0536,15961.0,-1.6369999999999998,1085.0,19.910999999999998,97.116,107.292,40920301,129369.0,0.24600000000000002,0.02,1
2.185,0.6890000000000001,-16.919,0.0531,16077.0,-1.635,1034.0,21.053,97.829,106.115,40794926,129449.0,0.34299999999999997,0.017,1
2.1719999999999997,0.605,-17.826,0.0529,11472.0,-1.633,971.669,22.022,98.479,105.79899999999999,40603898,129486.0,0.327,0.015,1
2.222,0.7979999999999999,-16.123,0.0538,10925.0,-1.633,863.263,24.23,99.21,107.66,40593213,129780.0,0.276,0.012,1
2.298,0.977,-13.545,0.0543,7883.0,-1.6340000000000001,848.5160000000001,26.011999999999997,99.96799999999999,108.695,40454885,130242.0,0.239,0.009000000000000001,1
2.376,0.937,-11.512,0.0559,6681.0,-1.635,854.89,29.318,100.88799999999999,111.875,40504427,131247.0,0.23600000000000002,0.006999999999999999,1
2.441,5.551,-9.402999999999999,0.0576,6682.0,-1.6340000000000001,921.575,36.469,101.977,115.28,40652889,131876.0,0.242,0.004,1
2.485,0.5710000000000001,-8.415,0.0579,7013.0,-1.633,911.432,43.803999999999995,103.04700000000001,115.785,63565547,131902.0,0.151,0.004,1
2.504,0.852,-8.575,0.0592,7017.0,-1.631,929.653,54.0,104.234,118.34700000000001,63695617,132055.0,0.145,0.003,1
2.497,0.56,-1.6669999999999998,0.061,7100.0,-1.6269999999999998,966.005,67.676,105.61200000000001,122.066,63880584,131308.0,0.11800000000000001,0.003,1
2.467,0.452,3.588,0.0623,7093.0,-1.6219999999999999,952.8960000000001,83.25,107.101,124.65100000000001,64015819,130511.0,0.142,0.003,1
2.416,0.878,4.9319999999999995,0.0628,7100.0,-1.6159999999999999,943.414,98.21700000000001,108.588,125.588,64249914,129973.0,0.11900000000000001,0.004,1
2.347,0.642,3.969,0.0624,6490.0,-1.609,946.676,109.62899999999999,109.962,124.863,64855118,129991.0,0.024,0.004,1
2.344,0.662,1.138,0.0604,11112.0,-1.604,806.118,114.885,111.006,120.74700000000001,65180064,130364.0,0.138,0.005,1
2.397,0.726,2.026,0.0587,9376.0,-1.601,741.452,116.75299999999999,111.777,117.345,65433627,130631.0,0.018000000000000002,0.006,1
2.471,0.721,4.038,0.0575,11639.0,-1.6,689.5980000000001,116.561,112.355,115.05,65067531,130989.0,-0.021,0.006999999999999999,1
2.542,0.6729999999999999,8.579,0.0575,16240.0,-1.6019999999999999,643.044,114.62899999999999,112.89299999999999,115.023,65064308,131554.0,-0.11,0.006999999999999999,1
2.5980000000000003,0.664,12.064,0.0583,17654.0,-1.604,656.2289999999999,111.20100000000001,113.493,116.613,65154219,131550.0,-0.10099999999999999,0.006999999999999999,1
2.63,0.6,10.594000000000001,0.0589,17977.0,-1.6059999999999999,708.579,106.541,114.124,117.844,65740259,131373.0,-0.22699999999999998,0.006999999999999999,1
2.636,0.534,11.023,0.06,19139.0,-1.607,710.929,101.46799999999999,114.839,119.961,65638891,131243.0,-0.311,0.006999999999999999,1
2.617,0.451,13.827,0.0609,17477.0,-1.609,723.26,97.073,115.611,121.73299999999999,65755323,130713.0,-0.355,0.006999999999999999,1
2.574,0.569,20.237000000000002,0.0618,17232.0,-1.609,722.212,93.48200000000001,116.448,123.67,65772204,130353.0,-0.41600000000000004,0.006999999999999999,1
2.511,0.41100000000000003,23.761,0.062,15565.0,-1.609,720.081,89.89200000000001,117.24799999999999,124.07,65305984,129705.0,-0.455,0.006999999999999999,1
2.432,0.37200000000000005,23.509,0.062,11273.0,-1.608,725.7260000000001,85.243,117.98200000000001,123.947,65083861,128832.0,-0.496,0.006999999999999999,1
2.437,0.609,22.656,0.0618,12818.0,-1.61,614.52,78.333,118.64,123.693,65231777,129072.0,-0.53,0.006,1
2.4819999999999998,1.062,19.426,0.0619,12085.0,-1.614,537.609,70.15899999999999,119.24700000000001,123.8,65186435,129785.0,-0.5920000000000001,0.006,1
2.5380000000000003,6.352,18.217,0.0621,6496.0,-1.618,564.612,60.766999999999996,119.82600000000001,124.251,65075624,130572.0,-0.627,0.005,1
2.588,2.5469999999999997,18.152,0.0625,6706.0,-1.6219999999999999,598.0269999999999,51.512,120.396,125.036,65226811,131307.0,-0.649,0.004,1
2.62,1.901,15.513,0.0613,7109.0,-1.626,586.599,43.451,120.74600000000001,122.527,65387076,131428.0,-0.529,0.004,1
