activeaddresses30mom,confirmationtime30ema,confirmationtime3ema,confirmationtime90ema,difficulty14var,hashrate14mom,hashrate14trx,hashrate30roc,hashrate3std,hashrate7trx,hashrate90roc,median_transaction_fee3trxUSD,median_transaction_fee7rocUSD,mediantransactionvalue14rocUSD,mediantransactionvalue14rsiUSD,mediantransactionvalue14smaUSD,mediantransactionvalue7rsiUSD,mediantransactionvalueUSD,mining_profitability3roc,mining_profitability7std,price3rsiUSD,price7momUSD,price7varUSD,priceUSD,sentbyaddress30var,sentinusdUSD,size30rsi,size30std,size30trx,size3mom,top100cap,category
10612,10.096,9.779,10.016,226892543164416.0,2.67314583330872e+16,-0.040999999999999995,10.739,5.83022111749135e+16,0.055999999999999994,14.732000000000001,0.33899999999999997,2.517,45.53,60.865,70.392,67.184,101.083,-3.2239999999999998,0.336,67.91,5.93,13.944,241.493,189634743,253310511.0,50.246,80200.0,0.059000000000000004,21397.0,20.53,1
-17920,10.017999999999999,9.334,9.991,196582935363584.0,4.18279167998342e+16,-0.006,11.370999999999999,3.05301188524693e+16,0.24,17.539,0.276,3.233,17.019000000000002,52.086999999999996,71.195,50.638000000000005,77.334,6.285,0.34700000000000003,74.741,7.586,11.239,242.205,185019967,268813774.0,48.58,81680.0,0.054000000000000006,-67079.0,20.553,0
-13383,9.975,9.342,9.977,155272929607680.0,4.98697146419077e+16,0.03,-7.229,1.61541878432201e+16,0.374,22.857,-0.08800000000000001,1.794,-6.067,49.318000000000005,70.878,45.875,68.751,-9.445,0.25,20.651999999999997,4.167,3.8369999999999997,236.365,184662786,246619912.0,48.027,84445.0,0.045,-54181.0,20.615,1
19419,9.963,9.568999999999999,9.972999999999999,102962526945280.0,3.14809547246579e+16,0.073,15.374,7560274276357986.0,0.5,7.38,-0.252,-1.1740000000000002,-3.929,47.068000000000005,70.69800000000001,42.023999999999994,61.583,-1.2329999999999999,0.287,31.55,-2.8169999999999997,5.42,237.222,178499206,223776494.0,49.18,82762.0,0.036000000000000004,-32722.0,20.625999999999998,0
43015,10.024,10.238999999999999,9.993,39651725279232.0,-2.07562928480077e+16,0.087,-2.04,3.58805807097212e+16,0.405,6.375,-0.293,-2.354,9.463,42.746,70.987,34.973,46.832,-11.282,0.304,29.471999999999998,-5.712000000000001,5.75,236.928,173512571,180914546.0,49.891999999999996,82078.0,0.027000000000000003,33783.0,20.607,0
31051,9.921,9.33,9.959,2.27334057141207e+16,3.8341385700895e+16,0.11800000000000001,18.527,4.35589602594975e+16,0.451,9.488999999999999,-0.268,-1.8869999999999998,-26.018,43.268,69.77600000000001,36.135999999999996,48.20399999999999,6.186,0.324,28.394000000000002,-4.553999999999999,5.959,236.81599999999997,188119567,146959691.0,47.121,86647.0,0.013999999999999999,-27427.0,20.601999999999997,0
-10391,9.926,9.665,9.96,1.05658508543263e+17,2.56503965123661e+16,0.13699999999999998,5.12,4.05709296852403e+16,0.41700000000000004,2.3,-0.251,-2.221,3.52,49.938,69.939,50.229,66.828,2.9930000000000003,0.261,21.090999999999998,-5.3629999999999995,5.59,236.105,186943831,221259139.0,49.505,86425.0,0.002,5253.0,20.63,0
-21881,10.0,10.370999999999999,9.984,1.74756022309093e+17,2529263363892736.0,0.142,-3.408,3.17101314298977e+16,0.304,-1.6230000000000002,-0.377,-3.5260000000000002,76.53399999999999,62.597,73.55,70.518,116.615,-6.515,0.316,7.8229999999999995,-8.514,6.362,232.979,174124238,278595973.0,52.148,88431.0,-0.004,61331.0,20.625,1
12025,9.996,10.151,9.982999999999999,2.30025947012661e+17,-2.65277604811236e+16,0.129,-5.206,1.54962788313142e+16,0.131,-12.007,-0.397,-3.695,43.66,59.025,75.84100000000001,63.776,105.54899999999999,-4.675,0.27399999999999997,14.933,-8.949,2.721,233.25599999999997,176097931,255794328.0,49.985,88440.0,-0.009000000000000001,78498.0,20.638,1
-9001,9.95,9.721,9.968,2.71468282653966e+17,6389272166627328.0,0.136,-2.873,3.7173970553707e+16,0.15,3.219,-0.249,-0.55,41.156000000000006,58.602,78.012,62.952,104.25,0.21600000000000003,0.268,51.556999999999995,-1.3,2.668,235.065,176378810,223238062.0,48.06100000000001,90940.0,-0.017,-40911.0,20.628,1
